Driver,LapNumber,LapTime,Compound,TyreLife,Position,Time,PitInTime,PittedThisLap,TrackStatus,LapSeconds,PersonalDelta,CumSeconds,Interval
ALB,60.0,0 days 00:01:51.635000,SOFT,17.0,10.0,0 days 02:16:51.122000,,False,4,111.635,1.9250000000000114,8211.122,1.014999999999418
ALB,61.0,0 days 00:01:59.566000,SOFT,18.0,10.0,0 days 02:18:50.688000,,False,4,119.566,7.930999999999997,8330.688,0.9850000000005821
ALB,62.0,0 days 00:01:31.249000,SOFT,19.0,10.0,0 days 02:20:21.937000,,False,4,91.249,-28.317000000000007,8421.937,3.4030000000002474
ALB,63.0,0 days 00:01:23.345000,SOFT,20.0,10.0,0 days 02:21:45.282000,,False,4,83.345,-7.903999999999996,8505.282,1.6259999999983847
ALB,64.0,0 days 00:01:20.988000,SOFT,21.0,10.0,0 days 02:23:06.270000,,False,412,80.988,-2.3569999999999993,8586.27,0.4899999999997817
ALB,65.0,0 days 00:01:53.813000,SOFT,22.0,9.0,0 days 02:25:00.083000,0 days 02:24:38.352000,True,24,113.813,32.825,8700.083,1.3100000000013097
ALB,66.0,0 days 00:01:47.265000,SOFT,23.0,9.0,0 days 02:26:47.348000,,False,4,107.265,-6.548000000000002,8807.348,1.4920000000001892
ALB,67.0,,SOFT,24.0,9.0,0 days 03:02:16.640000,0 days 02:28:33.200000,True,451,,,10936.64,2.4619999999995343
ALB,68.0,0 days 00:02:25.090000,SOFT,7.0,9.0,0 days 03:04:41.730000,0 days 03:03:40.291000,True,14,145.09,,11081.73,2.029000000000451
ALB,69.0,0 days 00:01:32.833000,SOFT,7.0,9.0,0 days 03:06:14.563000,,False,4,92.833,-52.257000000000005,11174.563,2.1190000000005966
ALB,70.0,,SOFT,8.0,9.0,0 days 03:08:52.608000,,False,41,,,11332.608,0.037000000000261934
ALB,71.0,0 days 00:01:29.804000,SOFT,9.0,9.0,0 days 03:10:22.412000,,False,12,89.804,,11422.412,0.7790000000004511
