Driver,LapNumber,LapTime,Compound,TyreLife,Position,Time,PitInTime,PittedThisLap,LapSeconds,PersonalDelta,CumSeconds,Interval
BOR,22.0,0 days 00:01:23.914000,HARD,7.0,16.0,0 days 01:25:31.115000,,False,83.914,0.07800000000000296,5131.115,0.8220000000001164
BOR,23.0,0 days 00:01:24.725000,HARD,8.0,15.0,0 days 01:26:55.840000,,False,84.725,0.8109999999999928,5215.84,0.4220000000004802
BOR,24.0,0 days 00:01:24.069000,HARD,9.0,14.0,0 days 01:28:19.909000,,False,84.069,-0.6559999999999917,5299.909,3.007999999999811
BOR,25.0,0 days 00:01:24.199000,HARD,10.0,14.0,0 days 01:29:44.108000,,False,84.199,0.12999999999999545,5384.108,2.186999999999898
BOR,26.0,0 days 00:01:24.917000,HARD,11.0,14.0,0 days 01:31:09.025000,,False,84.917,0.7180000000000035,5469.025,1.620999999999185
BOR,27.0,0 days 00:01:24.594000,HARD,12.0,14.0,0 days 01:32:33.619000,,False,84.594,-0.3230000000000075,5553.619,1.1129999999993743
BOR,28.0,0 days 00:01:25.180000,HARD,13.0,14.0,0 days 01:33:58.799000,,False,85.18,0.5860000000000127,5638.799,0.5690000000004147
BOR,29.0,0 days 00:01:25.753000,HARD,14.0,14.0,0 days 01:35:24.552000,,False,85.753,0.5729999999999933,5724.552,0.9690000000000509
BOR,30.0,0 days 00:01:27.066000,HARD,15.0,12.0,0 days 01:36:51.618000,,False,87.066,1.3130000000000024,5811.618,16.710000000000036
BOR,31.0,0 days 00:01:27.453000,HARD,16.0,13.0,0 days 01:38:19.071000,,False,87.453,0.38700000000000045,5899.071,2.6989999999996144
BOR,32.0,0 days 00:01:25.977000,HARD,17.0,13.0,0 days 01:39:45.048000,,False,85.977,-1.475999999999999,5985.048,2.717999999999847
BOR,33.0,0 days 00:01:29.825000,HARD,18.0,14.0,0 days 01:41:14.873000,0 days 01:41:12.042000,True,89.825,3.847999999999999,6074.873,2.326999999999316
BOR,34.0,0 days 00:01:43.826000,HARD,1.0,16.0,0 days 01:42:58.699000,,False,103.826,14.00099999999999,6178.699,7.094000000000051
BOR,35.0,0 days 00:01:23.639000,HARD,2.0,15.0,0 days 01:44:22.338000,,False,83.639,-20.186999999999998,6262.338,6.634999999999309
BOR,36.0,0 days 00:01:23.784000,HARD,3.0,15.0,0 days 01:45:46.122000,,False,83.784,0.14500000000001023,6346.122,6.470000000000255
BOR,37.0,0 days 00:01:23.566000,HARD,4.0,15.0,0 days 01:47:09.688000,,False,83.566,-0.21800000000000352,6429.688,6.039999999999964
BOR,38.0,0 days 00:01:24.176000,HARD,5.0,15.0,0 days 01:48:33.864000,,False,84.176,0.6099999999999994,6513.864,1.9739999999992506
BOR,39.0,0 days 00:01:37.964000,HARD,6.0,15.0,0 days 01:50:11.828000,,False,97.964,13.787999999999997,6611.828,5.4909999999999854
